,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
30,s1,S  4,4,13877,13.877,0.6900000000000013,0
47,s1,S  4,4,19731,19.731,0.017000000000003013,2
63,s1,S  4,4,25581,25.581,0.15399999999999991,0
74,s1,S  4,4,29759,29.759,0.2530000000000001,0
82,s1,S  4,4,33108,33.108,0.34199999999999875,0
90,s1,S  4,4,36451,36.451,0.4209999999999994,0
108,s1,S  4,4,43136,43.136,0.5730000000000004,0
116,s1,S  4,4,46479,46.479,0.6539999999999964,0
135,s1,S  4,4,53164,53.164,0.0030000000000001137,0
143,s1,S  4,4,56517,56.517,0.08400000000000318,0
149,s1,S  4,4,59025,59.025,0.14799999999999613,0
164,s1,S  4,4,64868,64.868,0.2779999999999916,0
207,s1,S  4,4,80752,80.752,0.6589999999999918,0
238,s1,S  4,4,91626,91.626,0.10800000000000409,0
273,s1,S  4,4,104166,104.166,0.4059999999999917,0
288,s1,S  4,4,110015,110.015,0.5529999999999973,0
