,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
2,s1,S  1,1,2682,2.682,0.837,1
14,s1,S  1,1,7698,7.698,0.5010000000000003,1
19,s1,S  1,1,9366,9.366,0.5419999999999998,1
24,s1,S  1,1,11045,11.045,0.5899999999999999,1
52,s1,S  1,1,21913,21.913,0.027999999999998693,1
71,s1,S  1,1,29437,29.437,0.21100000000000207,1
80,s1,S  1,1,32781,32.781,0.28999999999999915,1
95,s1,S  1,1,38631,38.631,0.4350000000000023,1
106,s1,S  1,1,42812,42.812,0.5349999999999966,1
123,s1,S  1,1,49499,49.499,0.6880000000000024,1
132,s1,S  1,1,52840,52.84,0.7640000000000029,1
137,s1,S  1,1,54515,54.515,0.8070000000000022,1
145,s1,S  1,1,57020,57.02,0.05100000000000193,1
152,s1,S  1,1,59532,59.532,0.11199999999999477,1
161,s1,S  1,1,62869,62.869,0.18599999999999994,1
168,s1,S  1,1,65381,65.381,0.24899999999999523,1
173,s1,S  1,1,67049,67.049,0.28600000000000136,1
180,s1,S  1,1,69559,69.559,0.34900000000000375,1
185,s1,S  1,1,71229,71.229,0.3889999999999958,1
198,s1,S  1,1,76247,76.247,0.5139999999999958,1
205,s1,S  1,1,78755,78.755,0.5699999999999932,1
210,s1,S  1,1,80424,80.424,0.605000000000004,1
217,s1,S  1,1,82933,82.933,0.6740000000000066,1
226,s1,S  1,1,86276,86.276,0.7530000000000001,1
244,s1,S  1,1,92973,92.973,0.10200000000000387,1
255,s1,S  1,1,97144,97.144,0.19000000000001194,1
268,s1,S  1,1,102166,102.166,0.3199999999999932,1
275,s1,S  1,1,104672,104.672,0.37999999999999545,1
280,s1,S  1,1,106339,106.339,0.4140000000000015,1
289,s1,S  1,1,109692,109.692,0.5049999999999955,1
300,s1,S  1,1,113870,113.87,0.605000000000004,1
311,s1,S  1,1,118051,118.051,0.7000000000000028,1
316,s1,S  1,1,119715,119.715,0.7360000000000042,1
