,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
21,s2,S 69,5,9714,9.714,0.2710000000000008,0
37,s2,S 69,5,15421,15.421,0.12899999999999956,0
55,s2,S 69,5,22765,22.765,0.7890000000000015,0
90,s2,S 69,5,35010,35.01,0.4959999999999951,0
110,s2,S 69,5,42350,42.35,0.3130000000000024,0
142,s2,S 69,5,53774,53.774,0.02499999999999858,0
158,s2,S 69,5,60298,60.298,0.7010000000000005,0
195,s2,S 69,5,73361,73.361,0.38700000000000045,0
224,s2,S 69,5,83968,83.968,0.12600000000000477,0
245,s2,S 69,5,92120,92.12,0.7520000000000095,2
259,s2,S 69,5,97020,97.02,0.6430000000000007,0
267,s2,S 69,5,100282,100.282,0.5559999999999974,0
305,s2,S 69,5,114155,114.155,0.2189999999999941,0
