,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
5,s1,S  8,8,4078,4.078,0.4690000000000003,0
16,s1,S  8,8,8261,8.261,0.5719999999999992,0
23,s1,S  8,8,10773,10.773,0.6150000000000002,0
34,s1,S  8,8,14951,14.951,0.7370000000000001,0
60,s1,S  8,8,24148,24.148,0.13899999999999935,0
68,s1,S  8,8,27493,27.493,0.21799999999999997,0
72,s1,S  8,8,29157,29.157,0.2579999999999991,0
111,s1,S  8,8,43376,43.376,0.6029999999999944,0
120,s1,S  8,8,46713,46.713,0.6799999999999997,2
145,s1,S  8,8,55072,55.072,0.059000000000004604,0
159,s1,S  8,8,60097,60.097,0.18900000000000006,0
170,s1,S  8,8,64277,64.277,0.2850000000000037,0
185,s1,S  8,8,70125,70.125,0.42799999999999727,0
198,s1,S  8,8,75142,75.142,0.546999999999997,0
215,s1,S  8,8,81825,81.825,0.7010000000000076,0
229,s1,S  8,8,86845,86.845,0.01300000000000523,0
233,s1,S  8,8,88517,88.517,0.04800000000000182,0
246,s1,S  8,8,93528,93.528,0.16800000000000637,0
264,s1,S  8,8,100225,100.225,0.33799999999999386,0
270,s1,S  8,8,102732,102.732,0.39799999999999613,0
