,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
3,s1,S  2,2,3645,3.645,0.548,1
29,s1,S  2,2,9700,9.7,0.1819999999999986,1
53,s1,S  2,2,15402,15.402,0.5229999999999997,1
59,s1,S  2,2,16457,16.457,0.10600000000000165,1
89,s1,S  2,2,23525,23.525,0.20899999999999963,1
99,s1,S  2,2,25633,25.633,0.04400000000000048,1
103,s1,S  2,2,26463,26.463,0.3180000000000014,1
115,s1,S  2,2,29117,29.117,0.2510000000000012,1
123,s1,S  2,2,30739,30.739,0.08699999999999974,1
136,s1,S  2,2,33689,33.689,0.31700000000000017,1
164,s1,S  2,2,40462,40.462,0.4280000000000044,1
176,s1,S  2,2,42886,42.886,0.2080000000000055,1
183,s1,S  2,2,44476,44.476,0.46399999999999864,1
195,s1,S  2,2,47013,47.013,0.15099999999999625,1
202,s1,S  2,2,48520,48.52,0.1670000000000016,1
220,s1,S  2,2,52615,52.615,0.045999999999999375,1
232,s1,S  2,2,55135,55.135,0.01899999999999835,1
237,s1,S  2,2,56288,56.288,0.17799999999999727,1
242,s1,S  2,2,57123,57.123,0.013999999999995794,1
253,s1,S  2,2,59643,59.643,0.2530000000000001,1
