,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
2,s2,S 68,4,1084,2.168,0.81,1
6,s2,S 68,4,1902,3.804,0.34199999999999964,1
13,s2,S 68,4,3128,6.256,0.28200000000000003,1
18,s2,S 68,4,3943,7.886,0.25,1
31,s2,S 68,4,6392,12.784,0.12400000000000055,1
36,s2,S 68,4,7206,14.412,0.08800000000000097,1
50,s2,S 68,4,10470,20.94,0.7560000000000002,1
55,s2,S 68,4,11287,22.574,0.7200000000000024,1
62,s2,S 68,4,12509,25.018,0.6600000000000001,1
69,s2,S 68,4,13734,27.468,0.6039999999999992,1
80,s2,S 68,4,15774,31.548,0.5039999999999978,1
85,s2,S 68,4,16588,33.176,0.4540000000000006,1
90,s2,S 68,4,17407,34.814,0.42199999999999704,1
101,s2,S 68,4,19447,38.894,0.32399999999999807,1
125,s2,S 68,4,23933,47.866,0.10000000000000142,1
137,s2,S 68,4,26382,52.764,0.818000000000005,1
144,s2,S 68,4,27603,55.206,0.7480000000000047,0
152,s2,S 68,4,29235,58.47,0.6700000000000017,1
157,s2,S 68,4,30052,60.104,0.6340000000000003,1
162,s2,S 68,4,30870,61.74,0.6000000000000014,1
167,s2,S 68,4,31685,63.37,0.5519999999999996,1
178,s2,S 68,4,33723,67.446,0.45000000000000284,1
187,s2,S 68,4,35357,70.714,0.3739999999999952,1
196,s2,S 68,4,36988,73.976,0.2920000000000016,1
211,s2,S 68,4,39842,79.684,0.14799999999999613,1
216,s2,S 68,4,40660,81.32,0.10799999999998988,1
225,s2,S 68,4,42290,84.58,0.027999999999991587,1
229,s2,S 68,4,43106,86.212,0.8100000000000023,1
236,s2,S 68,4,44333,88.666,0.7759999999999962,1
245,s2,S 68,4,45963,91.926,0.6899999999999977,1
252,s2,S 68,4,47188,94.376,0.632000000000005,1
267,s2,S 68,4,50046,100.092,0.4939999999999998,1
274,s2,S 68,4,51267,102.534,0.42200000000001125,1
302,s2,S 68,4,56572,113.144,0.17200000000001125,1
307,s2,S 68,4,57388,114.776,0.12599999999999056,1
