,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
68,response,S131,3,13723,27.446,0.4939999999999998
142,response,S131,3,27186,54.372,0.6340000000000003
149,response,S131,3,28477,56.954,0.7419999999999973
