,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
4,response,S132,4,3934,3.934,0.18999999999999995
109,response,S132,4,42501,42.501,0.16499999999999915
140,response,S132,4,53663,53.663,0.5119999999999933
214,response,S132,4,80299,80.299,0.23000000000000398
231,response,S132,4,85797,85.797,0.015000000000000568
316,response,S132,4,116876,116.876,0.08899999999999864
324,response,S132,4,119683,119.683,0.4450000000000074
