,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
2,s1,S  6,6,2458,2.458,0.8370000000000002,1
6,s1,S  6,6,4136,4.136,0.42799999999999994,1
11,s1,S  6,6,5803,5.803,0.45899999999999963,1
16,s1,S  6,6,7476,7.476,0.5049999999999999,1
25,s1,S  6,6,10823,10.823,0.5850000000000009,1
40,s1,S  6,6,16670,16.67,0.7250000000000014,1
52,s1,S  6,6,21685,21.685,0.020999999999997243,1
61,s1,S  6,6,25027,25.027,0.10200000000000031,1
74,s1,S  6,6,30052,30.052,0.22799999999999798,1
81,s1,S  6,6,32557,32.557,0.2910000000000039,1
94,s1,S  6,6,37571,37.571,0.4089999999999989,1
105,s1,S  6,6,41750,41.75,0.5080000000000027,1
112,s1,S  6,6,44260,44.26,0.5730000000000004,1
119,s1,S  6,6,46764,46.764,0.6280000000000001,1
124,s1,S  6,6,48437,48.437,0.6669999999999945,1
143,s1,S  6,6,55129,55.129,0.00999999999999801,1
148,s1,S  6,6,56794,56.794,0.05099999999999483,1
153,s1,S  6,6,58473,58.473,0.09199999999999875,1
158,s1,S  6,6,60142,60.142,0.13000000000000256,1
167,s1,S  6,6,63491,63.491,0.21799999999999642,1
176,s1,S  6,6,66827,66.827,0.2839999999999918,1
181,s1,S  6,6,68507,68.507,0.3410000000000082,1
196,s1,S  6,6,74358,74.358,0.47400000000000375,1
203,s1,S  6,6,76863,76.863,0.5360000000000014,1
218,s1,S  6,6,82713,82.713,0.671999999999997,1
231,s1,S  6,6,87729,87.729,0.7879999999999967,1
239,s1,S  6,6,90241,90.241,0.03700000000000614,1
244,s1,S  6,6,91912,91.912,0.07600000000000762,1
251,s1,S  6,6,94421,94.421,0.13700000000000045,1
278,s1,S  6,6,105289,105.289,0.39700000000000557,1
283,s1,S  6,6,106954,106.954,0.42899999999998784,1
292,s1,S  6,6,110300,110.3,0.5189999999999912,1
299,s1,S  6,6,112810,112.81,0.5750000000000028,1
304,s1,S  6,6,114480,114.48,0.6200000000000045,1
311,s1,S  6,6,116992,116.992,0.6800000000000068,1
318,s1,S  6,6,119499,119.499,0.7439999999999998,1
