,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
14,response,S134,6,3330,6.66,0.23599999999999977,2
29,response,S134,6,5790,11.58,0.2560000000000002,2
34,response,S134,6,6596,13.192,0.23600000000000065,2
44,response,S134,6,8285,16.57,0.3520000000000003,2
61,response,S134,6,11734,23.468,0.6039999999999992,2
80,response,S134,6,15009,30.018,0.4660000000000011,2
102,response,S134,6,18784,37.568,0.14000000000000057,2
117,response,S134,6,21239,42.478,0.15400000000000347,2
130,response,S134,6,23269,46.538,0.13599999999999568,2
154,response,S134,6,27474,54.948,0.3160000000000025,2
220,response,S134,6,38725,77.45,0.036000000000001364,2
227,response,S134,6,40102,80.204,0.3499999999999943,2
236,response,S134,6,41712,83.424,0.2960000000000065,2
260,response,S134,6,45849,91.698,0.2839999999999918,2
271,response,S134,6,47949,95.898,0.30400000000000205,2
278,response,S134,6,49225,98.45,0.347999999999999,2
336,response,S134,6,59772,119.544,0.5219999999999914,2
