,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
3,response,S130,2,1447,2.894,0.6539999999999999,1
14,response,S130,2,3800,7.6,0.4659999999999993,1
21,response,S130,2,5106,10.212,0.6280000000000001,1
28,response,S130,2,6242,12.484,0.4540000000000006,1
37,response,S130,2,7985,15.97,0.6760000000000002,1
50,response,S130,2,10740,21.48,0.40000000000000213,1
70,response,S130,2,14420,28.84,0.2259999999999991,1
77,response,S130,2,15627,31.254,0.14000000000000057,1
93,response,S130,2,18682,37.364,0.03599999999999426,1
97,response,S130,2,19453,38.906,0.2639999999999958,1
106,response,S130,2,21023,42.046,0.06199999999999761,1
156,response,S130,2,30499,60.998,0.00999999999999801,1
180,response,S130,2,35295,70.59,0.1839999999999975,1
189,response,S130,2,36892,73.784,0.034000000000006025,1
198,response,S130,2,38611,77.222,0.12599999999999056,1
205,response,S130,2,39815,79.63,0.02199999999999136,1
214,response,S130,2,41452,82.904,0.7019999999999982,1
219,response,S130,2,42226,84.452,0.6140000000000043,1
224,response,S130,2,43014,86.028,0.5620000000000118,1
231,response,S130,2,44237,88.474,0.5060000000000002,1
238,response,S130,2,45459,90.918,0.4420000000000073,1
254,response,S130,2,48272,96.544,0.22400000000000375,1
271,response,S130,2,51703,103.406,0.39000000000000057,1
276,response,S130,2,52414,104.828,0.14799999999999613,1
283,response,S130,2,53624,107.248,0.056000000000011596,1
290,response,S130,2,54881,109.762,0.060000000000002274,1
296,response,S130,2,55819,111.638,0.058000000000006935,1
308,response,S130,2,58227,116.454,0.06999999999999318,1
318,response,S130,2,60289,120.578,0.8419999999999987,1
