,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
2,s1,S  1,1,1245,2.49,0.8320000000000003,1
8,s1,S  1,1,2502,5.004,0.44399999999999995,1
13,s1,S  1,1,3340,6.68,0.4899999999999993,1
22,s1,S  1,1,5007,10.014,0.5599999999999987,1
32,s1,S  1,1,6679,13.358,0.6340000000000003,1
57,s1,S  1,1,11280,22.56,0.0519999999999996,1
64,s1,S  1,1,12535,25.07,0.11200000000000188,1
84,s1,S  1,1,16295,32.59,0.28600000000000136,1
105,s1,S  1,1,20060,40.12,0.4759999999999991,1
110,s1,S  1,1,20895,41.79,0.5159999999999982,1
122,s1,S  1,1,22981,45.962,0.6000000000000014,1
127,s1,S  1,1,23820,47.64,0.6480000000000032,0
134,s1,S  1,1,25072,50.144,0.7040000000000006,1
143,s1,S  1,1,26744,53.488,0.7839999999999989,1
153,s1,S  1,1,28417,56.834,0.05000000000000426,1
158,s1,S  1,1,29252,58.504,0.0940000000000012,1
182,s1,S  1,1,33432,66.864,0.2920000000000016,1
193,s1,S  1,1,35525,71.05,0.39799999999999613,1
214,s1,S  1,1,39283,78.566,0.5739999999999981,1
221,s1,S  1,1,40540,81.08,0.6359999999999957,1
230,s1,S  1,1,42211,84.422,0.715999999999994,1
235,s1,S  1,1,43048,86.096,0.7520000000000095,1
240,s1,S  1,1,43882,87.764,0.7959999999999923,1
249,s1,S  1,1,45135,90.27,0.0379999999999967,1
270,s1,S  1,1,48898,97.796,0.21800000000000352,0
274,s1,S  1,1,49736,99.472,0.2639999999999958,1
279,s1,S  1,1,50572,101.144,0.3020000000000067,1
286,s1,S  1,1,51827,103.654,0.35999999999999943,1
295,s1,S  1,1,53496,106.992,0.4399999999999977,0
302,s1,S  1,1,54749,109.498,0.4939999999999998,0
307,s1,S  1,1,55587,111.174,0.5420000000000016,0
315,s1,S  1,1,56842,113.684,0.35200000000000387,1
332,s1,S  1,1,59766,119.532,0.5840000000000032,1
