,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
42,response,S131,3,8411,16.822,0.5679999999999978
102,response,S131,3,19505,39.01,0.22800000000000153
134,response,S131,3,25206,50.412,0.705999999999996
189,response,S131,3,35051,70.102,0.38800000000000523
