,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
10,s2,S 67,3,2612,5.224,0.3719999999999999,2
28,s2,S 67,3,5467,10.934,0.22999999999999865,0
37,s2,S 67,3,7101,14.202,0.15600000000000058,0
45,s2,S 67,3,8732,17.464,0.0779999999999994,0
55,s2,S 67,3,10771,21.542,0.8060000000000009,0
59,s2,S 67,3,11585,23.17,0.7660000000000018,0
74,s2,S 67,3,14441,28.882,0.6219999999999999,0
97,s2,S 67,3,18524,37.048,0.4299999999999997,0
119,s2,S 67,3,22601,45.202,0.2220000000000013,0
139,s2,S 67,3,26272,52.544,0.045999999999999375,0
156,s2,S 67,3,29538,59.076,0.7199999999999989,0
162,s2,S 67,3,30760,61.52,0.6620000000000061,0
203,s2,S 67,3,38511,77.022,0.2820000000000107,0
250,s2,S 67,3,47080,94.16,0.7000000000000028,0
263,s2,S 67,3,49531,99.062,0.578000000000003,0
294,s2,S 67,3,55241,110.482,0.2980000000000018,2
303,s2,S 67,3,56875,113.75,0.21800000000000352,0
318,s2,S 67,3,59728,119.456,0.07800000000000296,0
