,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
39,response,S132,4,7351,14.702,0.2259999999999991
48,response,S132,4,9109,18.218,0.4800000000000004
185,response,S132,4,33336,66.672,0.4479999999999933
331,response,S132,4,58046,116.092,0.43200000000000216
