,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
3,response,S130,2,2664,5.328,0.8660000000000005,1
18,response,S130,2,6105,12.21,0.4580000000000002,1
37,response,S130,2,10774,21.548,0.2759999999999998,1
54,response,S130,2,14347,28.694,0.08200000000000074,1
81,response,S130,2,20713,41.426,0.8580000000000041,1
147,response,S130,2,35978,71.956,0.8780000000000001,1
167,response,S130,2,40392,80.784,0.4440000000000026,1
251,response,S130,2,59393,118.786,0.46999999999999886,1
