,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
3,response,S131,3,1544,3.088,0.6299999999999999,1
9,response,S131,3,2905,5.81,0.6159999999999997,1
16,response,S131,3,4329,8.658,0.379999999999999,1
37,response,S131,3,8889,17.778,0.5679999999999978,1
46,response,S131,3,10822,21.644,0.11199999999999832,1
61,response,S131,3,14098,28.196,0.062000000000001165,1
65,response,S131,3,14923,29.846,0.038000000000000256,1
77,response,S131,3,17588,35.176,0.25,1
90,response,S131,3,20488,40.976,0.11999999999999744,1
110,response,S131,3,25119,50.238,0.5940000000000012,1
151,response,S131,3,34387,68.774,0.27599999999999625,1
190,response,S131,3,43780,87.56,0.6779999999999973,1
236,response,S131,3,54280,108.56,0.5400000000000063,1
240,response,S131,3,55260,110.52,0.6659999999999968,1
