,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
3,response,S134,6,2184,4.368,0.8000000000000003,1
30,response,S134,6,8311,16.622,0.5279999999999987,1
39,response,S134,6,10390,20.78,0.7000000000000028,1
45,response,S134,6,11446,22.892,0.003999999999997783,1
52,response,S134,6,12887,25.774,0.3460000000000001,1
59,response,S134,6,14354,28.708,0.2519999999999989,1
70,response,S134,6,16974,33.948,0.5619999999999976,1
80,response,S134,6,18943,37.886,0.578000000000003,1
111,response,S134,6,26145,52.29,0.4939999999999998,1
136,response,S134,6,31263,62.526,0.14800000000000324,1
148,response,S134,6,33972,67.944,0.11800000000000921,1
162,response,S134,6,37215,74.43,0.2560000000000002,1
180,response,S134,6,41323,82.646,0.3960000000000008,1
191,response,S134,6,43599,87.198,0.657999999999987,1
198,response,S134,6,45108,90.216,0.7319999999999993,1
212,response,S134,6,47546,95.092,0.1559999999999917,1
222,response,S134,6,49624,99.248,0.8220000000000027,1
242,response,S134,6,54216,108.432,0.5520000000000067,1
256,response,S134,6,57265,114.53,0.2920000000000016,1
267,response,S134,6,59793,119.586,0.5619999999999976,1
