,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
1,response,S133,5,1363,2.726,0.984,3
60,response,S133,5,14581,29.162,0.41600000000000037,3
87,response,S133,5,20819,41.638,0.2639999999999958,3
128,response,S133,5,29300,58.6,0.2220000000000013,3
145,response,S133,5,33380,66.76,0.1460000000000008,3
154,response,S133,5,35282,70.564,0.2779999999999916,3
187,response,S133,5,42215,84.43,0.14800000000001035,3
195,response,S133,5,44077,88.154,0.27599999999999625,3
270,response,S133,5,60806,121.612,0.9479999999999933,3
