,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
42,s1,S  1,1,10544,21.088,0.45200000000000173,0
58,s1,S  1,1,14267,28.534,0.36799999999999855,0
82,s1,S  1,1,19771,39.542,0.5159999999999982,0
150,s1,S  1,1,34614,69.228,0.4099999999999966,0
169,s1,S  1,1,38765,77.53,0.24399999999999977,0
196,s1,S  1,1,44359,88.718,0.4339999999999975,0
215,s1,S  1,1,48442,96.884,0.3359999999999985,0
245,s1,S  1,1,54947,109.894,0.34600000000000364,0
270,s1,S  1,1,60228,120.456,0.6000000000000085,0
