,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
1,s2,S 65,1,1146,2.292,0.8619999999999999,1
4,s2,S 65,1,2134,4.268,1.3099999999999996,0
16,s2,S 65,1,4860,9.72,0.004000000000001336,1
28,s2,S 65,1,7477,14.954,0.9400000000000013,0
49,s2,S 65,1,12210,24.42,0.40400000000000347,0
52,s2,S 65,1,13119,26.238,1.1239999999999988,0
67,s2,S 65,1,16400,32.8,0.5739999999999981,1
74,s2,S 65,1,17848,35.696,0.030000000000001137,0
87,s2,S 65,1,20914,41.828,0.2220000000000013,0
97,s2,S 65,1,23435,46.87,0.25199999999999534,1
103,s2,S 65,1,24632,49.264,0.5500000000000043,1
110,s2,S 65,1,26188,52.376,0.6039999999999992,1
125,s2,S 65,1,29357,58.714,0.9919999999999973,1
139,s2,S 65,1,32164,64.328,0.22400000000000375,0
145,s2,S 65,1,33611,67.222,0.29599999999999227,1
157,s2,S 65,1,36170,72.34,0.2960000000000065,1
161,s2,S 65,1,37128,74.256,0.7560000000000002,1
176,s2,S 65,1,40366,80.732,0.10800000000000409,0
180,s2,S 65,1,41265,82.53,0.5580000000000069,0
188,s2,S 65,1,42881,85.762,0.13400000000000034,1
192,s2,S 65,1,43619,87.238,0.7060000000000031,0
199,s2,S 65,1,45095,90.19,0.5259999999999962,1
218,s2,S 65,1,49163,98.326,0.8059999999999974,0
222,s2,S 65,1,50101,100.202,0.21399999999999864,1
230,s2,S 65,1,51922,103.844,0.73599999999999,1
237,s2,S 65,1,53337,106.674,0.8700000000000045,1
242,s2,S 65,1,54269,108.538,0.5019999999999953,0
252,s2,S 65,1,56580,113.16,0.2639999999999958,1
257,s2,S 65,1,57557,115.114,0.0799999999999983,1
