,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
16,response,S134,6,5383,10.766,0.0779999999999994,3
52,response,S134,6,13491,26.982,0.5380000000000003,3
72,response,S134,6,17497,34.994,0.04399999999999693,3
78,response,S134,6,18870,37.74,0.5940000000000012,3
82,response,S134,6,19657,39.314,0.8960000000000008,3
110,response,S134,6,25264,50.528,0.036000000000001364,3
118,response,S134,6,27198,54.396,0.17200000000000415,3
126,response,S134,6,28669,57.338,0.11400000000000432,3
137,response,S134,6,31308,62.616,0.5399999999999991,3
155,response,S134,6,34912,69.824,0.7939999999999969,3
163,response,S134,6,36507,73.014,0.16599999999999682,3
201,response,S134,6,45238,90.476,0.980000000000004,3
209,response,S134,6,46672,93.344,0.033999999999991815,3
264,response,S134,6,58964,117.928,0.14000000000000057,3
