,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
110,response,S134,6,25264,50.528,0.036000000000001364
126,response,S134,6,28669,57.338,0.11400000000000432
155,response,S134,6,34912,69.824,0.7939999999999969
201,response,S134,6,45238,90.476,0.980000000000004
209,response,S134,6,46672,93.344,0.033999999999991815
