,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
19,s1,S  8,8,8756,8.756,0.5980000000000008,0
28,s1,S  8,8,12101,12.101,0.6830000000000016,0
49,s1,S  8,8,19621,19.621,0.04399999999999693,0
55,s1,S  8,8,22131,22.131,0.10300000000000153,0
75,s1,S  8,8,29655,29.655,0.28000000000000114,0
119,s1,S  8,8,45538,45.538,0.6589999999999989,0
138,s1,S  8,8,52226,52.226,0.003999999999997783,0
151,s1,S  8,8,57239,57.239,0.12299999999999756,0
181,s1,S  8,8,68112,68.112,0.3859999999999957,0
190,s1,S  8,8,71457,71.457,0.472999999999999,0
210,s1,S  8,8,78976,78.976,0.6470000000000056,0
216,s1,S  8,8,81480,81.48,0.7049999999999983,0
237,s1,S  8,8,89003,89.003,0.06100000000000705,0
310,s1,S  8,8,115756,115.756,0.7079999999999984,2
