,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
10,s1,S  1,1,5510,5.51,0.5110000000000001,0
33,s1,S  1,1,13872,13.872,0.7099999999999991,0
46,s1,S  1,1,18888,18.888,0.011000000000002785,0
59,s1,S  1,1,23902,23.902,0.13000000000000256,0
69,s1,S  1,1,28082,28.082,0.23300000000000054,0
75,s1,S  1,1,30592,30.592,0.29699999999999704,0
88,s1,S  1,1,35611,35.611,0.4239999999999995,0
99,s1,S  1,1,39791,39.791,0.5149999999999935,0
108,s1,S  1,1,43131,43.131,0.5970000000000013,0
121,s1,S  1,1,48153,48.153,0.722999999999999,0
130,s1,S  1,1,51490,51.49,0.7950000000000017,0
147,s1,S  1,1,57342,57.342,0.12399999999999523,0
165,s1,S  1,1,64037,64.037,0.28700000000000614,0
181,s1,S  1,1,69888,69.888,0.42500000000001137,0
191,s1,S  1,1,74069,74.069,0.5259999999999962,0
207,s1,S  1,1,79918,79.918,0.666000000000011,0
223,s1,S  1,1,85770,85.77,0.8089999999999975,0
246,s1,S  1,1,94129,94.129,0.18600000000000705,0
260,s1,S  1,1,99142,99.142,0.3089999999999975,0
268,s1,S  1,1,102488,102.488,0.38299999999999557,0
274,s1,S  1,1,104995,104.995,0.4519999999999982,0
312,s1,S  1,1,119206,119.206,0.7870000000000061,0
