,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
14,s1,S  3,3,8086,8.086,0.5570000000000004,2
23,s1,S  3,3,11433,11.433,0.6389999999999993,0
36,s1,S  3,3,16441,16.441,0.5879999999999992,0
53,s1,S  3,3,23127,23.127,0.09699999999999775,2
68,s1,S  3,3,28988,28.988,0.23799999999999955,2
94,s1,S  3,3,39017,39.017,0.4790000000000063,2
101,s1,S  3,3,41524,41.524,0.5350000000000037,0
113,s1,S  3,3,45709,45.709,0.6470000000000056,0
142,s1,S  3,3,56573,56.573,0.08400000000000318,0
156,s1,S  3,3,62423,62.423,0.22100000000000364,0
169,s1,S  3,3,67437,67.437,0.33899999999999864,0
185,s1,S  3,3,73290,73.29,0.4860000000000042,0
210,s1,S  3,3,83327,83.327,0.7289999999999992,2
234,s1,S  3,3,92517,92.517,0.12599999999999056,2
245,s1,S  3,3,96703,96.703,0.23000000000000398,2
274,s1,S  3,3,107570,107.57,0.492999999999995,0
278,s1,S  3,3,109238,109.238,0.5310000000000059,0
293,s1,S  3,3,115095,115.095,0.6730000000000018,0
