,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
82,response,S137,9,31091,31.091,0.19900000000000162
182,response,S137,9,67489,67.489,0.11800000000000921
286,response,S137,9,105602,105.602,0.07600000000000762
