,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
1,s2,S 72,8,1716,1.716,0.815,1
4,s2,S 72,8,3349,3.349,0.6200000000000001,1
15,s2,S 72,8,7431,7.431,0.2599999999999998,1
20,s2,S 72,8,9066,9.066,0.22900000000000098,1
27,s2,S 72,8,11510,11.51,0.16300000000000026,1
40,s2,S 72,8,16407,16.407,0.045999999999999375,1
56,s2,S 72,8,22938,22.938,0.7210000000000001,1
61,s2,S 72,8,24571,24.571,0.6539999999999999,1
70,s2,S 72,8,27828,27.828,0.5969999999999978,1
75,s2,S 72,8,29467,29.467,0.5599999999999987,1
88,s2,S 72,8,34360,34.36,0.4399999999999977,1
101,s2,S 72,8,39255,39.255,0.31400000000000006,1
108,s2,S 72,8,41703,41.703,0.26200000000000045,1
119,s2,S 72,8,45778,45.778,0.15099999999999625,1
141,s2,S 72,8,54759,54.759,0.7719999999999985,1
152,s2,S 72,8,58837,58.837,0.6730000000000018,1
169,s2,S 72,8,65365,65.365,0.5150000000000006,1
176,s2,S 72,8,67813,67.813,0.45300000000000296,1
181,s2,S 72,8,69443,69.443,0.41100000000000136,1
188,s2,S 72,8,71891,71.891,0.3509999999999991,1
193,s2,S 72,8,73523,73.523,0.3079999999999927,1
202,s2,S 72,8,76784,76.784,0.23000000000000398,1
209,s2,S 72,8,79235,79.235,0.16899999999999693,1
214,s2,S 72,8,80869,80.869,0.1280000000000001,1
227,s2,S 72,8,85763,85.763,0.01100000000000989,1
231,s2,S 72,8,87398,87.398,0.7920000000000016,1
249,s2,S 72,8,93924,93.924,0.6440000000000055,0
258,s2,S 72,8,97187,97.187,0.5660000000000025,1
265,s2,S 72,8,99638,99.638,0.51400000000001,1
276,s2,S 72,8,103717,103.717,0.4099999999999966,1
293,s2,S 72,8,110245,110.245,0.25,1
308,s2,S 72,8,115958,115.958,0.10999999999999943,1
