,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
4,response,S131,3,3194,3.194,0.19300000000000006
82,response,S131,3,32166,32.166,0.394999999999996
250,response,S131,3,96571,96.571,0.42600000000000193
