,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
42,s2,S 69,5,17948,17.948,0.8140000000000001,0
45,s2,S 69,5,19583,19.583,0.7979999999999983,0
49,s2,S 69,5,21210,21.21,0.7579999999999991,0
63,s2,S 69,5,26924,26.924,0.620000000000001,0
115,s2,S 69,5,46510,46.51,0.14099999999999824,0
119,s2,S 69,5,48141,48.141,0.10099999999999909,0
208,s2,S 69,5,81593,81.593,0.11200000000000898,0
225,s2,S 69,5,88940,88.94,0.7659999999999911,0
229,s2,S 69,5,90564,90.564,0.7209999999999894,0
235,s2,S 69,5,93017,93.017,0.6709999999999923,0
239,s2,S 69,5,94650,94.65,0.6340000000000003,0
245,s2,S 69,5,97091,97.091,0.5589999999999975,0
249,s2,S 69,5,98725,98.725,0.5249999999999915,0
283,s2,S 69,5,111785,111.785,0.2049999999999983,0
