,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
2,s2,S 67,3,2848,2.848,0.8109999999999999,1
12,s2,S 67,3,6932,6.932,0.28800000000000026,1
17,s2,S 67,3,8560,8.56,0.245000000000001,1
34,s2,S 67,3,15095,15.095,0.0840000000000014,1
50,s2,S 67,3,21619,21.619,0.759999999999998,1
55,s2,S 67,3,23253,23.253,0.7259999999999991,1
64,s2,S 67,3,26517,26.517,0.6409999999999982,1
71,s2,S 67,3,28966,28.966,0.5790000000000006,1
76,s2,S 67,3,30593,30.593,0.5339999999999989,1
81,s2,S 67,3,32226,32.226,0.49799999999999756,1
94,s2,S 67,3,37123,37.123,0.3810000000000002,1
109,s2,S 67,3,42837,42.837,0.2430000000000021,1
116,s2,S 67,3,45282,45.282,0.18099999999999739,1
125,s2,S 67,3,48548,48.548,0.10000000000000142,1
137,s2,S 67,3,53445,53.445,0.8160000000000025,1
146,s2,S 67,3,56707,56.707,0.740000000000002,1
151,s2,S 67,3,58331,58.331,0.6900000000000048,1
160,s2,S 67,3,61596,61.596,0.6119999999999948,1
165,s2,S 67,3,63228,63.228,0.5730000000000004,1
172,s2,S 67,3,65678,65.678,0.512999999999991,1
181,s2,S 67,3,68944,68.944,0.4309999999999974,1
186,s2,S 67,3,70571,70.571,0.38299999999999557,1
221,s2,S 67,3,84450,84.45,0.04999999999999716,1
229,s2,S 67,3,87706,87.706,0.7980000000000018,1
236,s2,S 67,3,90155,90.155,0.7439999999999998,1
241,s2,S 67,3,91794,91.794,0.7099999999999937,1
248,s2,S 67,3,94239,94.239,0.6480000000000103,1
263,s2,S 67,3,99946,99.946,0.507000000000005,1
270,s2,S 67,3,102400,102.4,0.45300000000000296,1
281,s2,S 67,3,106480,106.48,0.34900000000000375,1
292,s2,S 67,3,110559,110.559,0.25099999999999056,1
299,s2,S 67,3,113005,113.005,0.18599999999999284,1
316,s2,S 67,3,119530,119.53,0.01999999999999602,1
