,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
2,s1,S  1,1,2598,2.598,0.841,1
6,s1,S  1,1,4265,4.265,0.4219999999999997,1
14,s1,S  1,1,6776,6.776,0.48099999999999987,1
19,s1,S  1,1,8451,8.451,0.5270000000000001,1
26,s1,S  1,1,10954,10.954,0.5820000000000007,1
39,s1,S  1,1,15969,15.969,0.7029999999999994,1
53,s1,S  1,1,20986,20.986,0.0070000000000014495,1
62,s1,S  1,1,24328,24.328,0.08599999999999852,1
69,s1,S  1,1,26843,26.843,0.1490000000000009,1
98,s1,S  1,1,38539,38.539,0.4209999999999994,1
109,s1,S  1,1,42717,42.717,0.5249999999999986,1
114,s1,S  1,1,44391,44.391,0.5629999999999953,1
125,s1,S  1,1,48575,48.575,0.6700000000000017,1
132,s1,S  1,1,51078,51.078,0.7230000000000061,1
144,s1,S  1,1,55266,55.266,0.015000000000000568,1
149,s1,S  1,1,56937,56.937,0.056999999999995055,1
154,s1,S  1,1,58605,58.605,0.08699999999999619,1
159,s1,S  1,1,60273,60.273,0.125,1
168,s1,S  1,1,63620,63.62,0.2119999999999962,1
173,s1,S  1,1,65290,65.29,0.24500000000000455,1
188,s1,S  1,1,71150,71.15,0.3990000000000009,1
195,s1,S  1,1,73649,73.649,0.44700000000000273,0
205,s1,S  1,1,77837,77.837,0.5589999999999975,1
214,s1,S  1,1,81179,81.179,0.6299999999999955,1
221,s1,S  1,1,83682,83.682,0.6869999999999976,1
239,s1,S  1,1,90377,90.377,0.04099999999999682,1
246,s1,S  1,1,92881,92.881,0.09399999999999409,1
261,s1,S  1,1,98737,98.737,0.24499999999999034,1
278,s1,S  1,1,105418,105.418,0.39500000000001023,1
285,s1,S  1,1,107928,107.928,0.45699999999999363,1
300,s1,S  1,1,113780,113.78,0.5960000000000036,1
