,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
7,s2,S 69,5,2171,2.171,0.19599999999999973,0
58,s2,S 69,5,11144,11.144,0.3930000000000007,0
74,s2,S 69,5,14001,14.001,0.32099999999999973,0
93,s2,S 69,5,17266,17.266,0.24299999999999855,0
97,s2,S 69,5,18080,18.08,0.22299999999999898,0
121,s2,S 69,5,22569,22.569,0.11400000000000077,2
131,s2,S 69,5,24204,24.204,0.07400000000000162,0
139,s2,S 69,5,25834,25.834,0.03300000000000125,0
160,s2,S 69,5,29913,29.913,0.3520000000000003,0
173,s2,S 69,5,32363,32.363,0.2920000000000016,0
181,s2,S 69,5,33994,33.994,0.25099999999999767,0
196,s2,S 69,5,36849,36.849,0.17899999999999494,0
209,s2,S 69,5,39298,39.298,0.12000000000000455,0
230,s2,S 69,5,42968,42.968,0.03200000000000358,0
258,s2,S 69,5,48271,48.271,0.3160000000000025,0
285,s2,S 69,5,53575,53.575,0.18700000000000472,0
298,s2,S 69,5,56023,56.023,0.13000000000000256,0
