,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
101,response,S133,5,38274,38.274,0.1670000000000016
312,response,S133,5,114092,114.092,0.5819999999999936
330,response,S133,5,121810,121.81,1.7710000000000008
