,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
1,s1,S  9,9,2162,2.162,0.8359999999999999,0
3,s1,S  9,9,3833,3.833,0.835,1
17,s1,S  9,9,8845,8.845,0.5220000000000002,1
22,s1,S  9,9,10517,10.517,0.5579999999999998,1
31,s1,S  9,9,13866,13.866,0.6470000000000002,1
36,s1,S  9,9,15535,15.535,0.6839999999999993,1
41,s1,S  9,9,17208,17.208,0.7289999999999992,1
56,s1,S  9,9,22221,22.221,0.02499999999999858,1
65,s1,S  9,9,25567,25.567,0.10800000000000054,1
94,s1,S  9,9,37266,37.266,0.38700000000000045,1
103,s1,S  9,9,40613,40.613,0.4649999999999963,1
118,s1,S  9,9,46463,46.463,0.6009999999999991,1
125,s1,S  9,9,48974,48.974,0.6699999999999946,1
140,s1,S  9,9,54827,54.827,0.8049999999999997,1
146,s1,S  9,9,56494,56.494,0.030999999999998806,1
151,s1,S  9,9,58174,58.174,0.07699999999999818,1
158,s1,S  9,9,60677,60.677,0.13000000000000256,1
171,s1,S  9,9,65695,65.695,0.25199999999999534,1
182,s1,S  9,9,69871,69.871,0.34899999999998954,1
191,s1,S  9,9,73218,73.218,0.4369999999999976,1
212,s1,S  9,9,81573,81.573,0.6239999999999952,1
217,s1,S  9,9,83246,83.246,0.6739999999999924,1
222,s1,S  9,9,84925,84.925,0.7139999999999986,1
227,s1,S  9,9,86592,86.592,0.757000000000005,1
232,s1,S  9,9,88270,88.27,0.7959999999999923,1
248,s1,S  9,9,94114,94.114,0.1110000000000042,1
253,s1,S  9,9,95789,95.789,0.15699999999999648,0
261,s1,S  9,9,99132,99.132,0.23900000000000432,1
282,s1,S  9,9,107489,107.489,0.4369999999999976,1
301,s1,S  9,9,115019,115.019,0.6230000000000047,1
314,s1,S  9,9,120032,120.032,0.7339999999999947,1
