,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
18,s1,S  2,2,8897,8.897,0.5950000000000006,0
36,s1,S  2,2,15588,15.588,0.754999999999999,0
51,s1,S  2,2,21443,21.443,0.08500000000000085,0
62,s1,S  2,2,25616,25.616,0.1750000000000007,0
73,s1,S  2,2,29802,29.802,0.277000000000001,0
85,s1,S  2,2,34813,34.813,0.39800000000000324,0
101,s1,S  2,2,40668,40.668,0.5360000000000014,0
107,s1,S  2,2,43174,43.174,0.5970000000000013,0
155,s1,S  2,2,60730,60.73,0.20699999999999363,0
210,s1,S  2,2,80794,80.794,0.6820000000000022,0
233,s1,S  2,2,89155,89.155,0.07099999999999795,0
246,s1,S  2,2,94173,94.173,0.18600000000000705,0
266,s1,S  2,2,101691,101.691,0.3650000000000091,0
285,s1,S  2,2,109221,109.221,0.5529999999999973,0
295,s1,S  2,2,113398,113.398,0.6529999999999916,0
304,s1,S  2,2,116742,116.742,0.730000000000004,0
