,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
34,s2,S 65,1,7161,7.161,0.05099999999999927,0
102,s2,S 65,1,20627,20.627,0.14000000000000057,0
112,s2,S 65,1,22662,22.662,0.0849999999999973,0
120,s2,S 65,1,24298,24.298,0.04899999999999949,0
213,s2,S 65,1,41024,41.024,0.05799999999999983,0
219,s2,S 65,1,42245,42.245,0.021000000000000796,0
229,s2,S 65,1,44288,44.288,0.3929999999999936,0
273,s2,S 65,1,52447,52.447,0.19500000000000028,0
298,s2,S 65,1,57340,57.34,0.06900000000000261,0
302,s2,S 65,1,58157,58.157,0.05099999999999483,0
306,s2,S 65,1,58976,58.976,0.03399999999999892,0
312,s2,S 65,1,60201,60.201,0.008000000000002672,0
