,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
15,s2,S 68,4,6872,13.744,0.6419999999999995,0
32,s2,S 68,4,10750,21.5,0.2560000000000002,0
48,s2,S 68,4,14385,28.77,0.4319999999999986,0
59,s2,S 68,4,16799,33.598,0.3999999999999986,0
62,s2,S 68,4,17522,35.044,0.5439999999999969,0
76,s2,S 68,4,20833,41.666,1.0060000000000002,0
82,s2,S 68,4,22264,44.528,0.75,0
97,s2,S 68,4,25518,51.036,0.3719999999999999,0
121,s2,S 68,4,30603,61.206,0.26600000000000534,0
137,s2,S 68,4,34265,68.53,0.42199999999999704,0
182,s2,S 68,4,44108,88.216,1.0180000000000007,0
188,s2,S 68,4,45373,90.746,0.03999999999999204,0
211,s2,S 68,4,50585,101.17,0.4899999999999949,0
220,s2,S 68,4,52772,105.544,0.5939999999999941,0
232,s2,S 68,4,55507,111.014,0.1419999999999959,0
235,s2,S 68,4,56417,112.834,0.7079999999999984,0
248,s2,S 68,4,59281,118.562,0.5360000000000014,0
