,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
3,response,S136,8,3729,7.458,0.5419999999999998,1
13,response,S136,8,6074,12.148,0.07399999999999984,1
43,response,S136,8,13037,26.074,0.08000000000000185,1
53,response,S136,8,15461,30.922,0.6320000000000014,1
59,response,S136,8,16743,33.486,0.4239999999999995,1
65,response,S136,8,17699,35.398,0.2740000000000009,1
73,response,S136,8,19645,39.29,0.8500000000000014,1
80,response,S136,8,20919,41.838,0.2120000000000033,1
95,response,S136,8,24224,48.448,0.4620000000000033,1
151,response,S136,8,36813,73.626,0.132000000000005,1
176,response,S136,8,42861,85.722,0.2680000000000007,1
189,response,S136,8,45440,90.88,0.37599999999999056,1
194,response,S136,8,46447,92.894,0.1840000000000117,1
202,response,S136,8,48348,96.696,0.563999999999993,1
209,response,S136,8,49664,99.328,0.5520000000000067,1
229,response,S136,8,53545,107.09,0.26200000000000045,1
236,response,S136,8,55274,110.548,0.5940000000000083,1
254,response,S136,8,59403,118.806,0.7959999999999923,1
260,response,S136,8,60494,120.988,0.17799999999999727,1
