,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
19,s1,S  4,4,7466,14.932,0.7580000000000009,0
28,s1,S  4,4,9320,18.64,0.6159999999999997,0
67,s1,S  4,4,17536,35.072,0.3340000000000032,0
85,s1,S  4,4,21678,43.356,0.21800000000000352,0
89,s1,S  4,4,22806,45.612,0.9819999999999993,0
111,s1,S  4,4,27214,54.428,0.2739999999999938,0
120,s1,S  4,4,29385,58.77,0.02200000000000557,0
141,s1,S  4,4,33974,67.948,0.09399999999999409,0
167,s1,S  4,4,39604,79.208,0.28000000000000114,2
182,s1,S  4,4,42704,85.408,0.652000000000001,0
195,s1,S  4,4,45587,91.174,0.6500000000000057,0
210,s1,S  4,4,48765,97.53,0.04000000000000625,0
218,s1,S  4,4,50290,100.58,0.22799999999999443,0
229,s1,S  4,4,52830,105.66,0.6439999999999912,2
259,s1,S  4,4,59428,118.856,0.8119999999999976,0
