,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
0,s2,S 72,8,1157,2.314,0.0,1
4,s2,S 72,8,2320,4.64,0.6559999999999997,0
10,s2,S 72,8,3729,7.458,0.5620000000000003,0
17,s2,S 72,8,5109,10.218,0.3699999999999992,1
26,s2,S 72,8,7027,14.054,0.09399999999999942,1
33,s2,S 72,8,8543,17.086,0.33999999999999986,1
39,s2,S 72,8,9858,19.716,0.7560000000000002,1
44,s2,S 72,8,10765,21.53,0.7620000000000005,1
49,s2,S 72,8,11779,23.558,0.4039999999999999,1
63,s2,S 72,8,14815,29.63,0.6739999999999995,0
68,s2,S 72,8,15977,31.954,1.001999999999999,1
73,s2,S 72,8,16760,33.52,0.32200000000000273,1
87,s2,S 72,8,20063,40.126,0.847999999999999,1
101,s2,S 72,8,22834,45.668,0.2639999999999958,1
106,s2,S 72,8,23720,47.44,0.027999999999998693,1
135,s2,S 72,8,30573,61.146,0.21000000000000085,0
143,s2,S 72,8,32409,64.818,0.637999999999991,0
148,s2,S 72,8,33488,66.976,0.9500000000000028,1
153,s2,S 72,8,34254,68.508,0.5300000000000011,0
168,s2,S 72,8,37698,75.396,0.18200000000000216,1
182,s2,S 72,8,40951,81.902,0.5460000000000065,1
187,s2,S 72,8,41779,83.558,0.17800000000001148,0
192,s2,S 72,8,42800,85.6,0.5479999999999876,1
196,s2,S 72,8,43755,87.51,1.1000000000000085,1
212,s2,S 72,8,47218,94.436,0.7200000000000131,0
225,s2,S 72,8,49995,99.99,0.4439999999999884,0
234,s2,S 72,8,51972,103.944,0.16200000000000614,0
239,s2,S 72,8,53011,106.022,0.4100000000000108,1
251,s2,S 72,8,55577,111.154,0.25,0
256,s2,S 72,8,56594,113.188,0.45000000000000284,1
263,s2,S 72,8,58080,116.16,0.3819999999999908,1
273,s2,S 72,8,60278,120.556,0.7219999999999942,1
