,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
30,s2,S 67,3,9296,18.592,0.21399999999999864,0
42,s2,S 67,3,12059,24.118,0.5,0
64,s2,S 67,3,16847,33.694,0.29400000000000404,0
69,s2,S 67,3,18225,36.45,0.7520000000000024,2
79,s2,S 67,3,20581,41.162,0.5319999999999965,0
103,s2,S 67,3,25710,51.42,0.46999999999999886,0
148,s2,S 67,3,35423,70.846,0.43200000000000216,0
189,s2,S 67,3,44685,89.37,0.7220000000000084,0
202,s2,S 67,3,47279,94.558,0.5120000000000005,0
206,s2,S 67,3,48350,96.7,0.9519999999999982,0
215,s2,S 67,3,50249,100.498,0.4280000000000115,0
236,s2,S 67,3,54785,109.57,0.1799999999999926,0
268,s2,S 67,3,61638,123.276,0.7279999999999944,0
