,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
2,s2,S 69,5,1812,3.624,0.8200000000000003,1
8,s2,S 69,5,3036,6.072,0.3280000000000003,1
18,s2,S 69,5,4667,9.334,0.24399999999999977,1
23,s2,S 69,5,5484,10.968,0.20599999999999952,1
28,s2,S 69,5,6298,12.596,0.16000000000000014,1
33,s2,S 69,5,7114,14.228,0.11800000000000033,0
41,s2,S 69,5,8746,17.492,0.03999999999999915,1
46,s2,S 69,5,9969,19.938,0.815999999999999,1
61,s2,S 69,5,12828,25.656,0.6799999999999997,1
66,s2,S 69,5,13643,27.286,0.6360000000000028,1
75,s2,S 69,5,15276,30.552,0.5620000000000012,1
96,s2,S 69,5,19356,38.712,0.36600000000000676,1
105,s2,S 69,5,20986,41.972,0.2820000000000036,1
118,s2,S 69,5,23433,46.866,0.1599999999999966,1
123,s2,S 69,5,24250,48.5,0.11599999999999966,1
130,s2,S 69,5,25473,50.946,0.05999999999999517,0
148,s2,S 69,5,28739,57.478,0.7319999999999993,1
153,s2,S 69,5,29552,59.104,0.6880000000000024,1
162,s2,S 69,5,31184,62.368,0.6120000000000019,1
169,s2,S 69,5,32406,64.812,0.5480000000000018,1
176,s2,S 69,5,33632,67.264,0.48799999999999955,1
193,s2,S 69,5,36897,73.794,0.33199999999999363,1
208,s2,S 69,5,39753,79.506,0.19400000000000261,1
213,s2,S 69,5,40567,81.134,0.1460000000000008,0
222,s2,S 69,5,42200,84.4,0.0660000000000025,1
227,s2,S 69,5,43016,86.032,0.033999999999991815,1
261,s2,S 69,5,49952,99.904,0.5279999999999916,0
273,s2,S 69,5,51990,103.98,0.13800000000000523,1
292,s2,S 69,5,55663,111.326,0.24799999999999045,1
303,s2,S 69,5,57702,115.404,0.1460000000000008,1
308,s2,S 69,5,58517,117.034,0.10200000000000387,1
315,s2,S 69,5,59741,119.482,0.04399999999999693,1
