,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
1,s1,S  9,9,867,1.734,0.83,1
4,s1,S  9,9,1703,3.406,0.8360000000000003,1
13,s1,S  9,9,3373,6.746,0.4720000000000004,1
18,s1,S  9,9,4211,8.422,0.5180000000000007,1
29,s1,S  9,9,6302,12.604,0.6279999999999983,1
38,s1,S  9,9,7973,15.946,0.702,1
43,s1,S  9,9,8809,17.618,0.7399999999999984,1
53,s1,S  9,9,10482,20.964,0.003999999999997783,1
66,s1,S  9,9,12989,25.978,0.12600000000000122,1
75,s1,S  9,9,14661,29.322,0.21000000000000085,1
82,s1,S  9,9,15915,31.83,0.26399999999999935,1
87,s1,S  9,9,16752,33.504,0.3119999999999976,1
92,s1,S  9,9,17586,35.172,0.3499999999999943,1
109,s1,S  9,9,20930,41.86,0.509999999999998,1
114,s1,S  9,9,21767,43.534,0.5459999999999994,1
119,s1,S  9,9,22605,45.21,0.588000000000001,1
124,s1,S  9,9,23440,46.88,0.632000000000005,1
129,s1,S  9,9,24274,48.548,0.661999999999999,1
138,s1,S  9,9,25946,51.892,0.7460000000000022,1
145,s1,S  9,9,27200,54.4,0.8079999999999998,1
155,s1,S  9,9,28874,57.748,0.07000000000000028,1
160,s1,S  9,9,29707,59.414,0.10800000000000409,1
165,s1,S  9,9,30543,61.086,0.14999999999999858,1
170,s1,S  9,9,31383,62.766,0.1939999999999955,1
175,s1,S  9,9,32218,64.436,0.23400000000000887,1
186,s1,S  9,9,34306,68.612,0.333999999999989,1
197,s1,S  9,9,36397,72.794,0.43200000000000216,1
206,s1,S  9,9,38067,76.134,0.5079999999999956,1
213,s1,S  9,9,39324,78.648,0.5739999999999981,1
226,s1,S  9,9,41832,83.664,0.6940000000000026,1
231,s1,S  9,9,42667,85.334,0.7360000000000042,1
244,s1,S  9,9,45173,90.346,0.034000000000006025,1
269,s1,S  9,9,50189,100.378,0.27599999999999625,1
280,s1,S  9,9,52281,104.562,0.3819999999999908,1
289,s1,S  9,9,53952,107.904,0.4579999999999984,1
302,s1,S  9,9,56463,112.926,0.5799999999999983,1
317,s1,S  9,9,59384,118.768,0.7079999999999984,1
