,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
18,s2,S 73,9,8789,8.789,0.238999999999999,0
25,s2,S 73,9,11245,11.245,0.18799999999999883,0
53,s2,S 73,9,21844,21.844,0.12600000000000122,0
108,s2,S 73,9,41426,41.426,0.2749999999999986,0
112,s2,S 73,9,43062,43.062,0.23699999999999477,0
194,s2,S 73,9,72434,72.434,0.34499999999999886,0
214,s2,S 73,9,79785,79.785,0.17600000000000193,0
229,s2,S 73,9,85494,85.494,0.034000000000006025,0
238,s2,S 73,9,89572,89.572,0.7630000000000052,0
318,s2,S 73,9,117311,117.311,0.08500000000000796,0
