,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
0,s2,S 73,9,1925,1.925,0.0,0
4,s2,S 73,9,4366,4.366,0.7839999999999998,0
13,s2,S 73,9,8454,8.454,0.2640000000000011,1
18,s2,S 73,9,10083,10.083,0.22199999999999953,1
25,s2,S 73,9,12528,12.528,0.1639999999999997,1
37,s2,S 73,9,16607,16.607,0.06199999999999761,1
42,s2,S 73,9,18241,18.241,0.021000000000000796,1
46,s2,S 73,9,19877,19.877,0.815999999999999,1
57,s2,S 73,9,23957,23.957,0.7250000000000014,1
62,s2,S 73,9,25584,25.584,0.6759999999999984,1
67,s2,S 73,9,27219,27.219,0.6410000000000018,1
74,s2,S 73,9,29663,29.663,0.5760000000000005,1
83,s2,S 73,9,32929,32.929,0.4939999999999998,1
100,s2,S 73,9,39453,39.453,0.3290000000000006,1
107,s2,S 73,9,41907,41.907,0.28299999999999415,1
121,s2,S 73,9,46804,46.804,0.16499999999999915,1
130,s2,S 73,9,50060,50.06,0.06900000000000261,0
136,s2,S 73,9,52513,52.513,0.01899999999999835,1
163,s2,S 73,9,63115,63.115,0.5859999999999985,1
175,s2,S 73,9,67195,67.195,0.4899999999999949,1
193,s2,S 73,9,73730,73.73,0.3359999999999985,0
197,s2,S 73,9,75353,75.353,0.28300000000000125,0
224,s2,S 73,9,85153,85.153,0.054000000000002046,0
228,s2,S 73,9,86777,86.777,0.009000000000000341,1
232,s2,S 73,9,88409,88.409,0.8050000000000068,1
239,s2,S 73,9,90864,90.864,0.7460000000000093,1
244,s2,S 73,9,92491,92.491,0.7049999999999983,1
249,s2,S 73,9,94124,94.124,0.6659999999999968,1
254,s2,S 73,9,95759,95.759,0.6329999999999956,1
263,s2,S 73,9,99019,99.019,0.5470000000000113,1
272,s2,S 73,9,102282,102.282,0.45999999999999375,1
281,s2,S 73,9,105548,105.548,0.38800000000000523,1
303,s2,S 73,9,113705,113.705,0.17799999999999727,0
310,s2,S 73,9,116159,116.159,0.132000000000005,0
