,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
80,response,S131,3,30357,30.357,0.3009999999999984
261,response,S131,3,97376,97.376,0.43900000000000716
302,response,S131,3,112568,112.568,0.33100000000000307
