,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
2,s1,S  6,6,2531,2.531,0.8340000000000001,1
14,s1,S  6,6,7544,7.544,0.5009999999999994,1
25,s1,S  6,6,11728,11.728,0.5999999999999996,1
30,s1,S  6,6,13400,13.4,0.6460000000000008,1
35,s1,S  6,6,15074,15.074,0.6839999999999993,1
44,s1,S  6,6,18419,18.419,0.7630000000000017,1
54,s1,S  6,6,21763,21.763,0.03100000000000236,1
59,s1,S  6,6,23431,23.431,0.06300000000000239,1
64,s1,S  6,6,25100,25.1,0.10600000000000165,1
69,s1,S  6,6,26772,26.772,0.14099999999999824,1
74,s1,S  6,6,28447,28.447,0.18900000000000006,1
79,s1,S  6,6,30118,30.118,0.22299999999999898,1
86,s1,S  6,6,32626,32.626,0.2909999999999968,1
91,s1,S  6,6,34295,34.295,0.3240000000000052,1
100,s1,S  6,6,37644,37.644,0.4089999999999989,1
111,s1,S  6,6,41820,41.82,0.5090000000000003,1
116,s1,S  6,6,43490,43.49,0.5470000000000041,1
121,s1,S  6,6,45170,45.17,0.588000000000001,1
126,s1,S  6,6,46843,46.843,0.6300000000000026,1
131,s1,S  6,6,48516,48.516,0.6709999999999994,1
151,s1,S  6,6,56035,56.035,0.027999999999998693,1
159,s1,S  6,6,58541,58.541,0.0899999999999963,0
165,s1,S  6,6,61053,61.053,0.1599999999999966,1
174,s1,S  6,6,64392,64.392,0.23399999999999466,1
187,s1,S  6,6,69408,69.408,0.3539999999999992,1
194,s1,S  6,6,71923,71.923,0.41899999999999693,1
199,s1,S  6,6,73592,73.592,0.4590000000000032,1
204,s1,S  6,6,75261,75.261,0.4919999999999902,1
213,s1,S  6,6,78608,78.608,0.5700000000000074,1
226,s1,S  6,6,83623,83.623,0.6899999999999977,1
231,s1,S  6,6,85299,85.299,0.7340000000000089,1
238,s1,S  6,6,87805,87.805,0.7950000000000017,1
249,s1,S  6,6,91148,91.148,0.0589999999999975,0
257,s1,S  6,6,94495,94.495,0.1460000000000008,1
262,s1,S  6,6,96161,96.161,0.1770000000000067,1
269,s1,S  6,6,98666,98.666,0.23199999999999932,1
284,s1,S  6,6,104527,104.527,0.38400000000000034,1
293,s1,S  6,6,107865,107.865,0.4619999999999891,1
302,s1,S  6,6,111214,111.214,0.5459999999999923,1
307,s1,S  6,6,112879,112.879,0.5760000000000076,1
324,s1,S  6,6,119572,119.572,0.7400000000000091,1
