,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
1,s1,S  3,3,1851,1.851,0.8380000000000001,1
4,s1,S  3,3,3529,3.529,0.4939999999999998,1
15,s1,S  3,3,7705,7.705,0.5069999999999997,1
24,s1,S  3,3,11052,11.052,0.5860000000000003,1
37,s1,S  3,3,16060,16.06,0.7029999999999994,1
44,s1,S  3,3,18572,18.572,0.7650000000000006,1
54,s1,S  3,3,21914,21.914,0.0259999999999998,1
59,s1,S  3,3,23591,23.591,0.06700000000000017,1
67,s1,S  3,3,26096,26.096,0.1280000000000001,1
74,s1,S  3,3,28606,28.606,0.18700000000000117,1
79,s1,S  3,3,30277,30.277,0.2240000000000002,1
84,s1,S  3,3,31947,31.947,0.26500000000000057,1
89,s1,S  3,3,33623,33.623,0.3149999999999977,1
100,s1,S  3,3,37798,37.798,0.40800000000000125,1
109,s1,S  3,3,41147,41.147,0.4959999999999951,1
116,s1,S  3,3,43654,43.654,0.5500000000000043,1
123,s1,S  3,3,46164,46.164,0.6110000000000042,1
132,s1,S  3,3,49503,49.503,0.6880000000000024,1
137,s1,S  3,3,51171,51.171,0.7190000000000012,1
151,s1,S  3,3,56191,56.191,0.035000000000003695,0
155,s1,S  3,3,57861,57.861,0.0730000000000004,1
167,s1,S  3,3,62045,62.045,0.17800000000000438,1
188,s1,S  3,3,70400,70.4,0.36700000000000443,1
215,s1,S  3,3,81276,81.276,0.6349999999999909,1
230,s1,S  3,3,87119,87.119,0.7690000000000055,1
238,s1,S  3,3,89630,89.63,0.01999999999999602,0
244,s1,S  3,3,92134,92.134,0.07399999999999807,0
250,s1,S  3,3,94646,94.646,0.13500000000000512,1
265,s1,S  3,3,100499,100.499,0.28000000000000114,1
282,s1,S  3,3,107187,107.187,0.44199999999999307,1
289,s1,S  3,3,109695,109.695,0.4939999999999998,1
300,s1,S  3,3,113879,113.879,0.597999999999999,1
316,s1,S  3,3,119730,119.73,0.7400000000000091,1
