,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
21,s2,S 69,5,9810,9.81,0.27500000000000036,0
28,s2,S 69,5,12254,12.254,0.20399999999999885,0
41,s2,S 69,5,17155,17.155,0.09299999999999997,0
45,s2,S 69,5,18791,18.791,0.05999999999999872,2
71,s2,S 69,5,28579,28.579,0.6449999999999996,0
95,s2,S 69,5,37557,37.557,0.43200000000000216,0
99,s2,S 69,5,39187,39.187,0.39399999999999835,0
139,s2,S 69,5,53058,53.058,0.04800000000000182,0
146,s2,S 69,5,56320,56.32,0.7989999999999995,0
167,s2,S 69,5,63659,63.659,0.6169999999999973,0
171,s2,S 69,5,65296,65.296,0.578000000000003,0
189,s2,S 69,5,71825,71.825,0.42600000000000193,0
197,s2,S 69,5,75088,75.088,0.3439999999999941,0
216,s2,S 69,5,82434,82.434,0.16499999999999204,0
222,s2,S 69,5,84884,84.884,0.10299999999999443,0
243,s2,S 69,5,93036,93.036,0.7309999999999945,0
254,s2,S 69,5,97115,97.115,0.6359999999999957,0
290,s2,S 69,5,110179,110.179,0.3269999999999982,0
294,s2,S 69,5,111807,111.807,0.27899999999999636,0
