,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
17,s2,S 73,9,4185,8.37,0.30799999999999983,0
23,s2,S 73,9,5410,10.82,0.25399999999999956,0
27,s2,S 73,9,6227,12.454,0.21199999999999974,0
52,s2,S 73,9,11121,22.242,0.8060000000000009,0
90,s2,S 73,9,18057,36.114,0.4619999999999962,0
112,s2,S 73,9,22546,45.092,0.24600000000000222,0
123,s2,S 73,9,24587,49.174,0.14799999999999613,0
132,s2,S 73,9,26216,52.432,0.06400000000000006,0
188,s2,S 73,9,37235,74.47,0.367999999999995,0
213,s2,S 73,9,41723,83.446,0.10599999999999454,0
229,s2,S 73,9,44986,89.972,0.8159999999999883,0
294,s2,S 73,9,57226,114.452,0.21999999999999886,0
