,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
7,response,S130,2,2398,4.796,0.33999999999999986,2
12,response,S130,2,3216,6.432,0.3020000000000005,2
24,response,S130,2,5201,10.402,0.09600000000000009,2
67,response,S130,2,13407,26.814,0.6260000000000012,2
90,response,S130,2,17478,34.956,0.4060000000000059,2
179,response,S130,2,34157,68.314,0.3199999999999932,2
197,response,S130,2,37422,74.844,0.16599999999999682,2
213,response,S130,2,40307,80.614,0.07800000000000296,2
251,response,S130,2,48056,96.112,0.5379999999999967,2
295,response,S130,2,56632,113.264,0.12999999999999545,2
307,response,S130,2,59006,118.012,0.5580000000000069,2
