,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
124,response,S130,2,24178,48.356,0.6439999999999984
168,response,S130,2,32099,64.198,0.16399999999998727
242,response,S130,2,45734,91.468,0.402000000000001
