,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
4,response,S133,5,1763,3.526,0.03599999999999959,1
12,response,S133,5,3362,6.724,0.37400000000000055,1
24,response,S133,5,5514,11.028,0.014000000000001123,1
30,response,S133,5,6674,13.348,0.4660000000000011,1
39,response,S133,5,8353,16.706,0.5599999999999987,1
61,response,S133,5,12611,25.222,0.10000000000000142,1
205,response,S133,5,41031,82.062,0.6439999999999912,1
212,response,S133,5,42242,84.484,0.6219999999999999,1
224,response,S133,5,44340,88.68,0.7320000000000135,1
243,response,S133,5,47663,95.326,0.031999999999996476,1
250,response,S133,5,48935,97.87,0.1360000000000099,1
266,response,S133,5,51923,103.846,0.036000000000001364,1
