,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
149,response,S131,3,29762,59.524,0.6460000000000008
199,response,S131,3,39394,78.788,0.4239999999999924
200,response,S131,3,39452,78.904,0.11599999999999966
205,response,S131,3,40215,80.43,0.43200000000000216
282,response,S131,3,55192,110.384,0.18999999999999773
