,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
19,s1,S  1,1,4724,9.448,0.5980000000000008,0
59,s1,S  1,1,11829,23.658,0.1180000000000021,0
87,s1,S  1,1,17264,34.528,0.3819999999999979,0
100,s1,S  1,1,19773,39.546,0.4619999999999962,0
110,s1,S  1,1,21860,43.72,0.6000000000000014,0
135,s1,S  1,1,26462,52.924,0.003999999999997783,0
173,s1,S  1,1,33146,66.292,0.31799999999999784,0
200,s1,S  1,1,38581,77.162,0.5880000000000081,0
204,s1,S  1,1,39418,78.836,0.6260000000000048,0
240,s1,S  1,1,45687,91.374,0.10999999999999943,0
258,s1,S  1,1,49029,98.058,0.26400000000001,0
291,s1,S  1,1,55299,110.598,0.5600000000000023,0
297,s1,S  1,1,56556,113.112,0.6340000000000003,2
313,s1,S  1,1,59483,118.966,0.7719999999999914,0
