,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
9,response,S136,8,2764,5.528,0.09799999999999986,3
53,response,S136,8,10779,21.558,0.23999999999999844,3
74,response,S136,8,14503,29.006,0.16000000000000014,3
97,response,S136,8,18652,37.304,0.10800000000000409,3
140,response,S136,8,26797,53.594,0.4620000000000033,3
145,response,S136,8,27429,54.858,0.09799999999999898,3
156,response,S136,8,29591,59.182,0.24800000000000466,3
158,response,S136,8,29834,59.668,0.008000000000002672,3
162,response,S136,8,30381,60.762,0.15200000000000102,3
171,response,S136,8,32077,64.154,0.20399999999999352,3
185,response,S136,8,34419,68.838,0.20199999999999818,3
193,response,S136,8,35769,71.538,0.0660000000000025,3
200,response,S136,8,37041,74.082,0.09999999999999432,3
204,response,S136,8,37600,75.2,0.04000000000000625,3
238,response,S136,8,43881,87.762,0.35999999999999943,3
310,response,S136,8,57104,114.208,0.09399999999999409,3
315,response,S136,8,57931,115.862,0.0799999999999983,3
