,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
17,s1,S  6,6,8128,8.128,0.5720000000000001,0
33,s1,S  6,6,13985,13.985,0.7199999999999989,0
72,s1,S  6,6,27361,27.361,0.2270000000000003,0
91,s1,S  6,6,34048,34.048,0.38000000000000256,0
99,s1,S  6,6,37386,37.386,0.4580000000000055,0
106,s1,S  6,6,39896,39.896,0.5210000000000008,0
132,s1,S  6,6,49091,49.091,0.7420000000000044,0
149,s1,S  6,6,55776,55.776,0.07700000000000529,0
164,s1,S  6,6,61636,61.636,0.22300000000000608,0
180,s1,S  6,6,67485,67.485,0.3689999999999998,0
184,s1,S  6,6,69160,69.16,0.40800000000000125,0
195,s1,S  6,6,73338,73.338,0.5079999999999956,0
203,s1,S  6,6,76685,76.685,0.5919999999999987,0
214,s1,S  6,6,80859,80.859,0.681999999999988,0
218,s1,S  6,6,82529,82.529,0.7259999999999991,0
242,s1,S  6,6,90887,90.887,0.09999999999999432,0
269,s1,S  6,6,100921,100.921,0.3480000000000132,0
280,s1,S  6,6,105107,105.107,0.45300000000000296,0
298,s1,S  6,6,111794,111.794,0.6159999999999997,0
