,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
103,response,S134,6,41797,41.797,0.29999999999999716
227,response,S134,6,91063,91.063,0.570999999999998
295,response,S134,6,118000,118.0,0.6159999999999997
