,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
0,s2,S 66,2,789,0.789,0.0,1
4,s2,S 66,2,3239,3.239,0.815,1
17,s2,S 66,2,8134,8.134,0.24400000000000066,1
24,s2,S 66,2,10581,10.581,0.18299999999999983,1
29,s2,S 66,2,12216,12.216,0.14899999999999913,1
34,s2,S 66,2,13847,13.847,0.10499999999999865,1
41,s2,S 66,2,16296,16.296,0.04499999999999815,1
46,s2,S 66,2,17926,17.926,0.0019999999999988916,1
54,s2,S 66,2,21186,21.186,0.7560000000000002,1
63,s2,S 66,2,24452,24.452,0.6830000000000034,1
68,s2,S 66,2,26081,26.081,0.634999999999998,1
77,s2,S 66,2,29352,29.352,0.5599999999999987,1
96,s2,S 66,2,36690,36.69,0.3789999999999978,1
103,s2,S 66,2,39138,39.138,0.3189999999999955,1
116,s2,S 66,2,44032,44.032,0.19699999999999562,1
123,s2,S 66,2,46480,46.48,0.134999999999998,1
132,s2,S 66,2,49745,49.745,0.0589999999999975,1
140,s2,S 66,2,53007,53.007,0.8119999999999976,1
145,s2,S 66,2,54643,54.643,0.7779999999999987,1
156,s2,S 66,2,58724,58.724,0.6709999999999994,1
163,s2,S 66,2,61167,61.167,0.6129999999999995,1
178,s2,S 66,2,66881,66.881,0.4759999999999991,1
183,s2,S 66,2,68510,68.51,0.42600000000000193,1
188,s2,S 66,2,70141,70.141,0.39000000000000057,1
195,s2,S 66,2,72592,72.592,0.3359999999999985,1
200,s2,S 66,2,74224,74.224,0.2950000000000017,1
205,s2,S 66,2,75861,75.861,0.2580000000000098,1
210,s2,S 66,2,77486,77.486,0.20900000000000318,1
225,s2,S 66,2,83200,83.2,0.06700000000000728,1
235,s2,S 66,2,87279,87.279,0.8019999999999925,1
242,s2,S 66,2,89729,89.729,0.7530000000000001,1
249,s2,S 66,2,92178,92.178,0.6899999999999977,1
254,s2,S 66,2,93811,93.811,0.6530000000000058,1
259,s2,S 66,2,95442,95.442,0.6069999999999993,1
268,s2,S 66,2,98708,98.708,0.5339999999999918,1
277,s2,S 66,2,101964,101.964,0.4440000000000026,1
282,s2,S 66,2,103595,103.595,0.4069999999999965,1
319,s2,S 66,2,118290,118.29,0.05300000000001148,1
324,s2,S 66,2,119916,119.916,0.006000000000000227,1
