,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
20,s1,S  6,6,9399,9.399,0.5419999999999998,0
36,s1,S  6,6,16091,16.091,0.7070000000000007,0
49,s1,S  6,6,21108,21.108,0.004999999999999005,0
71,s1,S  6,6,29468,29.468,0.21199999999999974,0
106,s1,S  6,6,42846,42.846,0.5329999999999941,0
120,s1,S  6,6,48697,48.697,0.6720000000000041,0
126,s1,S  6,6,51199,51.199,0.7299999999999969,0
203,s1,S  6,6,81301,81.301,0.6340000000000003,0
215,s1,S  6,6,86317,86.317,0.7539999999999907,0
224,s1,S  6,6,89661,89.661,0.01999999999999602,0
229,s1,S  6,6,91327,91.327,0.05700000000000216,0
235,s1,S  6,6,93838,93.838,0.11899999999999977,0
269,s1,S  6,6,107218,107.218,0.4420000000000073,0
283,s1,S  6,6,113065,113.065,0.5759999999999934,0
291,s1,S  6,6,116411,116.411,0.6610000000000014,0
