,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
34,s2,S 67,3,14655,14.655,0.14899999999999913,2
74,s2,S 67,3,30153,30.153,0.6059999999999981,0
83,s2,S 67,3,33420,33.42,0.5240000000000009,0
93,s2,S 67,3,37505,37.505,0.42900000000000205,0
99,s2,S 67,3,39953,39.953,0.37000000000000455,0
114,s2,S 67,3,45663,45.663,0.23499999999999943,0
122,s2,S 67,3,48927,48.927,0.15399999999999636,0
130,s2,S 67,3,52193,52.193,0.07000000000000028,0
141,s2,S 67,3,57086,57.086,0.7890000000000015,0
145,s2,S 67,3,58715,58.715,0.7440000000000069,0
158,s2,S 67,3,63613,63.613,0.6280000000000001,0
174,s2,S 67,3,69319,69.319,0.4759999999999991,0
196,s2,S 67,3,77485,77.485,0.28000000000000114,0
220,s2,S 67,3,86460,86.46,0.0589999999999975,2
227,s2,S 67,3,88905,88.905,0.001999999999995339,0
237,s2,S 67,3,92989,92.989,0.7409999999999997,0
246,s2,S 67,3,96246,96.246,0.5309999999999917,0
288,s2,S 67,3,112571,112.571,0.26200000000000045,0
304,s2,S 67,3,119099,119.099,0.09700000000000841,0
