,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
16,s1,S  1,1,3792,3.792,0.2839999999999998,0
37,s1,S  1,1,7558,7.558,0.3799999999999999,0
81,s1,S  1,1,15499,15.499,0.15800000000000125,0
90,s1,S  1,1,17172,17.172,0.19900000000000162,0
103,s1,S  1,1,19677,19.677,0.2569999999999979,0
121,s1,S  1,1,23023,23.023,0.34199999999999875,0
149,s1,S  1,1,28453,28.453,0.05999999999999872,0
153,s1,S  1,1,29290,29.29,0.07900000000000063,0
159,s1,S  1,1,30548,30.548,0.11499999999999844,0
174,s1,S  1,1,33470,33.47,0.17900000000000205,0
183,s1,S  1,1,35141,35.141,0.22099999999999653,0
203,s1,S  1,1,38907,38.907,0.3119999999999976,0
250,s1,S  1,1,47268,47.268,0.10500000000000398,0
269,s1,S  1,1,51025,51.025,0.18999999999999773,0
298,s1,S  1,1,56459,56.459,0.32500000000000284,0
314,s1,S  1,1,59387,59.387,0.3930000000000007,0
