,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
13,s2,S 67,3,3610,3.61,0.16699999999999982,0
22,s2,S 67,3,5244,5.244,0.1280000000000001,0
61,s2,S 67,3,12587,12.587,0.36599999999999966,2
77,s2,S 67,3,15445,15.445,0.2970000000000006,0
86,s2,S 67,3,17075,17.075,0.254999999999999,0
116,s2,S 67,3,22382,22.382,0.12400000000000233,0
169,s2,S 67,3,31765,31.765,0.31200000000000117,2
179,s2,S 67,3,33396,33.396,0.18099999999999739,0
193,s2,S 67,3,35841,35.841,0.17800000000000438,0
209,s2,S 67,3,38700,38.7,0.14100000000000534,0
213,s2,S 67,3,39517,39.517,0.12300000000000466,0
219,s2,S 67,3,40739,40.739,0.09099999999999397,0
227,s2,S 67,3,42369,42.369,0.046999999999997044,0
235,s2,S 67,3,44003,44.003,0.009000000000000341,0
249,s2,S 67,3,46860,46.86,0.3620000000000019,0
275,s2,S 67,3,51345,51.345,0.24799999999999756,0
299,s2,S 67,3,55837,55.837,0.1390000000000029,0
307,s2,S 67,3,57464,57.464,0.09799999999999898,0
315,s2,S 67,3,59096,59.096,0.0589999999999975,0
